date,regime_quadrant
2003-01-17,Overheat
2003-01-24,Overheat
2003-01-31,Overheat
2003-02-07,Overheat
2003-02-14,Overheat
2003-02-21,Overheat
2003-02-28,Overheat
2003-03-07,Overheat
2003-03-14,Overheat
2003-03-21,Overheat
2003-03-28,Overheat
2003-04-04,Overheat
2003-04-11,Overheat
2003-04-18,Overheat
2003-04-25,Overheat
2003-05-02,Overheat
2003-05-09,Recession
2003-05-16,Recession
2003-05-23,Recession
2003-05-30,Recession
2003-06-06,Recession
2003-06-13,Recession
2003-06-20,Recession
2003-06-27,Recession
2003-07-04,Recession
2003-07-11,Recession
2003-07-18,Recession
2003-07-25,Recession
2003-08-01,Recession
2003-08-08,Recession
2003-08-15,Recession
2003-08-22,Recession
2003-08-29,Recession
2003-09-05,Recession
2003-09-12,Overheat
2003-09-19,Overheat
2003-09-26,Overheat
2003-10-03,Recession
2003-10-10,Recession
2003-10-17,Recession
2003-10-24,Recession
2003-10-31,Recession
2003-11-07,Recession
2003-11-14,Recession
2003-11-21,Recession
2003-11-28,Recession
2003-12-05,Recession
2003-12-12,Recession
2003-12-19,Recession
2003-12-26,Recession
2004-01-02,Recession
2004-01-09,Overheat
2004-01-16,Overheat
2004-01-23,Overheat
2004-01-30,Overheat
2004-02-06,Overheat
2004-02-13,Overheat
2004-02-20,Overheat
2004-02-27,Overheat
2004-03-05,Overheat
2004-03-12,Overheat
2004-03-19,Overheat
2004-03-26,Overheat
2004-04-02,Overheat
2004-04-09,Overheat
2004-04-16,Overheat
2004-04-23,Overheat
2004-04-30,Overheat
2004-05-07,Overheat
2004-05-14,Overheat
2004-05-21,Overheat
2004-05-28,Overheat
2004-06-04,Overheat
2004-06-11,Overheat
2004-06-18,Overheat
2004-06-25,Overheat
2004-07-02,Overheat
2004-07-09,Overheat
2004-07-16,Overheat
2004-07-23,Overheat
2004-07-30,Overheat
2004-08-06,Overheat
2004-08-13,Overheat
2004-08-20,Overheat
2004-08-27,Overheat
2004-09-03,Recession
2004-09-10,Recession
2004-09-17,Recession
2004-09-24,Recession
2004-10-01,Recession
2004-10-08,Recession
2004-10-15,Recession
2004-10-22,Recession
2004-10-29,Recession
2004-11-05,Recession
2004-11-12,Overheat
2004-11-19,Overheat
2004-11-26,Overheat
2004-12-03,Overheat
2004-12-10,Overheat
2004-12-17,Overheat
2004-12-24,Overheat
2004-12-31,Overheat
2005-01-07,Overheat
2005-01-14,Overheat
2005-01-21,Overheat
2005-01-28,Overheat
2005-02-04,Recession
2005-02-11,Recession
2005-02-18,Recession
2005-02-25,Recession
2005-03-04,Recession
2005-03-11,Recession
2005-03-18,Recession
2005-03-25,Recession
2005-04-01,Recession
2005-04-08,Overheat
2005-04-15,Overheat
2005-04-22,Overheat
2005-04-29,Overheat
2005-05-06,Overheat
2005-05-13,Overheat
2005-05-20,Overheat
2005-05-27,Overheat
2005-06-03,Recession
2005-06-10,Recession
2005-06-17,Recession
2005-06-24,Recession
2005-07-01,Recession
2005-07-08,Recession
2005-07-15,Recession
2005-07-22,Recession
2005-07-29,Recession
2005-08-05,Recession
2005-08-12,Recession
2005-08-19,Recession
2005-08-26,Recession
2005-09-02,Overheat
2005-09-09,Overheat
2005-09-16,Overheat
2005-09-23,Overheat
2005-09-30,Overheat
2005-10-07,Overheat
2005-10-14,Overheat
2005-10-21,Overheat
2005-10-28,Overheat
2005-11-04,Overheat
2005-11-11,Overheat
2005-11-18,Overheat
2005-11-25,Overheat
2005-12-02,Overheat
2005-12-09,Overheat
2005-12-16,Overheat
2005-12-23,Overheat
2005-12-30,Recession
2006-01-06,Recession
2006-01-13,Recession
2006-01-20,Recession
2006-01-27,Recession
2006-02-03,Recession
2006-02-10,Recession
2006-02-17,Recession
2006-02-24,Recession
2006-03-03,Recession
2006-03-10,Recession
2006-03-17,Recession
2006-03-24,Recession
2006-03-31,Recession
2006-04-07,Recession
2006-04-14,Recession
2006-04-21,Recession
2006-04-28,Recession
2006-05-05,Recession
2006-05-12,Recession
2006-05-19,Recession
2006-05-26,Recession
2006-06-02,Recession
2006-06-09,Recession
2006-06-16,Recession
2006-06-23,Recession
2006-06-30,Recession
2006-07-07,Overheat
2006-07-14,Overheat
2006-07-21,Overheat
2006-07-28,Overheat
2006-08-04,Recession
2006-08-11,Recession
2006-08-18,Recession
2006-08-25,Recession
2006-09-01,Recession
2006-09-08,Overheat
2006-09-15,Overheat
2006-09-22,Overheat
2006-09-29,Overheat
2006-10-06,Overheat
2006-10-13,Recession
2006-10-20,Recession
2006-10-27,Recession
2006-11-03,Recession
2006-11-10,Recession
2006-11-17,Recession
2006-11-24,Recession
2006-12-01,Recession
2006-12-08,Recession
2006-12-15,Recession
2006-12-22,Recession
2006-12-29,Recession
2007-01-05,Recession
2007-01-12,Overheat
2007-01-19,Overheat
2007-01-26,Overheat
2007-02-02,Overheat
2007-02-09,Overheat
2007-02-16,Overheat
2007-02-23,Overheat
2007-03-02,Overheat
2007-03-09,Overheat
2007-03-16,Overheat
2007-03-23,Overheat
2007-03-30,Overheat
2007-04-06,Overheat
2007-04-13,Overheat
2007-04-20,Overheat
2007-04-27,Overheat
2007-05-04,Overheat
2007-05-11,Overheat
2007-05-18,Overheat
2007-05-25,Overheat
2007-06-01,Overheat
2007-06-08,Overheat
2007-06-15,Overheat
2007-06-22,Overheat
2007-06-29,Overheat
2007-07-06,Overheat
2007-07-13,Overheat
2007-07-20,Overheat
2007-07-27,Overheat
2007-08-03,Overheat
2007-08-10,Overheat
2007-08-17,Overheat
2007-08-24,Overheat
2007-08-31,Overheat
2007-09-07,Recession
2007-09-14,Recession
2007-09-21,Recession
2007-09-28,Recession
2007-10-05,Recession
2007-10-12,Recession
2007-10-19,Recession
2007-10-26,Recession
2007-11-02,Recession
2007-11-09,Overheat
2007-11-16,Overheat
2007-11-23,Overheat
2007-11-30,Overheat
2007-12-07,Overheat
2007-12-14,Overheat
2007-12-21,Overheat
2007-12-28,Overheat
2008-01-04,Overheat
2008-01-11,Overheat
2008-01-18,Overheat
2008-01-25,Overheat
2008-02-01,Overheat
2008-02-08,Overheat
2008-02-15,Overheat
2008-02-22,Overheat
2008-02-29,Overheat
2008-03-07,Overheat
2008-03-14,Overheat
2008-03-21,Overheat
2008-03-28,Overheat
2008-04-04,Overheat
2008-04-11,Overheat
2008-04-18,Overheat
2008-04-25,Overheat
2008-05-02,Overheat
2008-05-09,Overheat
2008-05-16,Overheat
2008-05-23,Overheat
2008-05-30,Overheat
2008-06-06,Overheat
2008-06-13,Overheat
2008-06-20,Overheat
2008-06-27,Overheat
2008-07-04,Overheat
2008-07-11,Overheat
2008-07-18,Overheat
2008-07-25,Overheat
2008-08-01,Overheat
2008-08-08,Overheat
2008-08-15,Overheat
2008-08-22,Overheat
2008-08-29,Overheat
2008-09-05,Overheat
2008-09-12,Recession
2008-09-19,Recession
2008-09-26,Recession
2008-10-03,Recession
2008-10-10,Recession
2008-10-17,Recession
2008-10-24,Recession
2008-10-31,Recession
2008-11-07,Recession
2008-11-14,Recession
2008-11-21,Recession
2008-11-28,Recession
2008-12-05,Recession
2008-12-12,Recession
2008-12-19,Recession
2008-12-26,Recession
2009-01-02,Recession
2009-01-09,Recession
2009-01-16,Recession
2009-01-23,Recession
2009-01-30,Recession
2009-02-06,Recession
2009-02-13,Recession
2009-02-20,Recession
2009-02-27,Recession
2009-03-06,Recession
2009-03-13,Recession
2009-03-20,Recession
2009-03-27,Recession
2009-04-03,Recession
2009-04-10,Recession
2009-04-17,Recession
2009-04-24,Recession
2009-05-01,Recession
2009-05-08,Recession
2009-05-15,Overheat
2009-05-22,Overheat
2009-05-29,Overheat
2009-06-05,Overheat
2009-06-12,Overheat
2009-06-19,Overheat
2009-06-26,Overheat
2009-07-03,Overheat
2009-07-10,Overheat
2009-07-17,Overheat
2009-07-24,Overheat
2009-07-31,Overheat
2009-08-07,Overheat
2009-08-14,Overheat
2009-08-21,Overheat
2009-08-28,Overheat
2009-09-04,Overheat
2009-09-11,Overheat
2009-09-18,Overheat
2009-09-25,Overheat
2009-10-02,Overheat
2009-10-09,Overheat
2009-10-16,Overheat
2009-10-23,Overheat
2009-10-30,Overheat
2009-11-06,Overheat
2009-11-13,Overheat
2009-11-20,Overheat
2009-11-27,Overheat
2009-12-04,Overheat
2009-12-11,Overheat
2009-12-18,Overheat
2009-12-25,Overheat
2010-01-01,Overheat
2010-01-08,Overheat
2010-01-15,Overheat
2010-01-22,Overheat
2010-01-29,Overheat
2010-02-05,Overheat
2010-02-12,Overheat
2010-02-19,Overheat
2010-02-26,Overheat
2010-03-05,Overheat
2010-03-12,Overheat
2010-03-19,Overheat
2010-03-26,Overheat
2010-04-02,Overheat
2010-04-09,Overheat
2010-04-16,Recession
2010-04-23,Recession
2010-04-30,Recession
2010-05-07,Recession
2010-05-14,Recession
2010-05-21,Recession
2010-05-28,Recession
2010-06-04,Recession
2010-06-11,Recession
2010-06-18,Recession
2010-06-25,Recession
2010-07-02,Recession
2010-07-09,Recession
2010-07-16,Recession
2010-07-23,Recession
2010-07-30,Recession
2010-08-06,Recession
2010-08-13,Recession
2010-08-20,Recession
2010-08-27,Recession
2010-09-03,Recession
2010-09-10,Recession
2010-09-17,Recession
2010-09-24,Recession
2010-10-01,Recession
2010-10-08,Overheat
2010-10-15,Overheat
2010-10-22,Overheat
2010-10-29,Overheat
2010-11-05,Overheat
2010-11-12,Overheat
2010-11-19,Overheat
2010-11-26,Overheat
2010-12-03,Overheat
2010-12-10,Overheat
2010-12-17,Overheat
2010-12-24,Overheat
2010-12-31,Overheat
2011-01-07,Overheat
2011-01-14,Overheat
2011-01-21,Overheat
2011-01-28,Overheat
2011-02-04,Overheat
2011-02-11,Overheat
2011-02-18,Overheat
2011-02-25,Overheat
2011-03-04,Overheat
2011-03-11,Overheat
2011-03-18,Overheat
2011-03-25,Overheat
2011-04-01,Overheat
2011-04-08,Overheat
2011-04-15,Overheat
2011-04-22,Overheat
2011-04-29,Overheat
2011-05-06,Overheat
2011-05-13,Overheat
2011-05-20,Overheat
2011-05-27,Overheat
2011-06-03,Overheat
2011-06-10,Overheat
2011-06-17,Overheat
2011-06-24,Overheat
2011-07-01,Recession
2011-07-08,Recession
2011-07-15,Recession
2011-07-22,Recession
2011-07-29,Recession
2011-08-05,Recession
2011-08-12,Recession
2011-08-19,Recession
2011-08-26,Recession
2011-09-02,Recession
2011-09-09,Recession
2011-09-16,Recession
2011-09-23,Recession
2011-09-30,Recession
2011-10-07,Recession
2011-10-14,Recession
2011-10-21,Recession
2011-10-28,Recession
2011-11-04,Recession
2011-11-11,Recession
2011-11-18,Recession
2011-11-25,Recession
2011-12-02,Recession
2011-12-09,Recession
2011-12-16,Recession
2011-12-23,Recession
2011-12-30,Recession
2012-01-06,Recession
2012-01-13,Recession
2012-01-20,Recession
2012-01-27,Recession
2012-02-03,Recession
2012-02-10,Recession
2012-02-17,Recession
2012-02-24,Recession
2012-03-02,Recession
2012-03-09,Recession
2012-03-16,Recession
2012-03-23,Recession
2012-03-30,Recession
2012-04-06,Recession
2012-04-13,Overheat
2012-04-20,Overheat
2012-04-27,Overheat
2012-05-04,Overheat
2012-05-11,Recession
2012-05-18,Recession
2012-05-25,Recession
2012-06-01,Recession
2012-06-08,Recession
2012-06-15,Recession
2012-06-22,Recession
2012-06-29,Recession
2012-07-06,Recession
2012-07-13,Recession
2012-07-20,Recession
2012-07-27,Recession
2012-08-03,Recession
2012-08-10,Recession
2012-08-17,Recession
2012-08-24,Recession
2012-08-31,Recession
2012-09-07,Overheat
2012-09-14,Overheat
2012-09-21,Overheat
2012-09-28,Overheat
2012-10-05,Overheat
2012-10-12,Overheat
2012-10-19,Overheat
2012-10-26,Overheat
2012-11-02,Overheat
2012-11-09,Overheat
2012-11-16,Overheat
2012-11-23,Overheat
2012-11-30,Overheat
2012-12-07,Overheat
2012-12-14,Overheat
2012-12-21,Overheat
2012-12-28,Overheat
2013-01-04,Recession
2013-01-11,Recession
2013-01-18,Recession
2013-01-25,Recession
2013-02-01,Recession
2013-02-08,Recession
2013-02-15,Recession
2013-02-22,Recession
2013-03-01,Overheat
2013-03-08,Overheat
2013-03-15,Overheat
2013-03-22,Overheat
2013-03-29,Overheat
2013-04-05,Overheat
2013-04-12,Recession
2013-04-19,Recession
2013-04-26,Recession
2013-05-03,Recession
2013-05-10,Recession
2013-05-17,Recession
2013-05-24,Recession
2013-05-31,Recession
2013-06-07,Recession
2013-06-14,Recession
2013-06-21,Recession
2013-06-28,Recession
2013-07-05,Recession
2013-07-12,Recession
2013-07-19,Recession
2013-07-26,Recession
2013-08-02,Recession
2013-08-09,Recession
2013-08-16,Recession
2013-08-23,Recession
2013-08-30,Recession
2013-09-06,Recession
2013-09-13,Recession
2013-09-20,Recession
2013-09-27,Recession
2013-10-04,Recession
2013-10-11,Recession
2013-10-18,Recession
2013-10-25,Recession
2013-11-01,Recession
2013-11-08,Recession
2013-11-15,Recession
2013-11-22,Recession
2013-11-29,Recession
2013-12-06,Recession
2013-12-13,Recession
2013-12-20,Recession
2013-12-27,Recession
2014-01-03,Recession
2014-01-10,Overheat
2014-01-17,Overheat
2014-01-24,Overheat
2014-01-31,Overheat
2014-02-07,Overheat
2014-02-14,Overheat
2014-02-21,Overheat
2014-02-28,Overheat
2014-03-07,Overheat
2014-03-14,Overheat
2014-03-21,Overheat
2014-03-28,Overheat
2014-04-04,Overheat
2014-04-11,Overheat
2014-04-18,Overheat
2014-04-25,Overheat
2014-05-02,Overheat
2014-05-09,Overheat
2014-05-16,Overheat
2014-05-23,Overheat
2014-05-30,Recession
2014-06-06,Recession
2014-06-13,Recession
2014-06-20,Recession
2014-06-27,Recession
2014-07-04,Recession
2014-07-11,Recession
2014-07-18,Recession
2014-07-25,Recession
2014-08-01,Recession
2014-08-08,Recession
2014-08-15,Recession
2014-08-22,Recession
2014-08-29,Recession
2014-09-05,Recession
2014-09-12,Recession
2014-09-19,Recession
2014-09-26,Recession
2014-10-03,Recession
2014-10-10,Recession
2014-10-17,Recession
2014-10-24,Recession
2014-10-31,Recession
2014-11-07,Recession
2014-11-14,Recession
2014-11-21,Recession
2014-11-28,Recession
2014-12-05,Recession
2014-12-12,Recession
2014-12-19,Recession
2014-12-26,Recession
2015-01-02,Recession
2015-01-09,Recession
2015-01-16,Recession
2015-01-23,Recession
2015-01-30,Recession
2015-02-06,Recession
2015-02-13,Recession
2015-02-20,Recession
2015-02-27,Recession
2015-03-06,Recession
2015-03-13,Recession
2015-03-20,Recession
2015-03-27,Recession
2015-04-03,Recession
2015-04-10,Recession
2015-04-17,Recession
2015-04-24,Recession
2015-05-01,Recession
2015-05-08,Overheat
2015-05-15,Overheat
2015-05-22,Overheat
2015-05-29,Overheat
2015-06-05,Overheat
2015-06-12,Overheat
2015-06-19,Overheat
2015-06-26,Overheat
2015-07-03,Overheat
2015-07-10,Overheat
2015-07-17,Overheat
2015-07-24,Overheat
2015-07-31,Overheat
2015-08-07,Overheat
2015-08-14,Overheat
2015-08-21,Overheat
2015-08-28,Overheat
2015-09-04,Overheat
2015-09-11,Overheat
2015-09-18,Overheat
2015-09-25,Overheat
2015-10-02,Overheat
2015-10-09,Recession
2015-10-16,Recession
2015-10-23,Recession
2015-10-30,Recession
2015-11-06,Recession
2015-11-13,Recession
2015-11-20,Recession
2015-11-27,Recession
2015-12-04,Recession
2015-12-11,Recession
2015-12-18,Recession
2015-12-25,Recession
2016-01-01,Overheat
2016-01-08,Overheat
2016-01-15,Overheat
2016-01-22,Overheat
2016-01-29,Overheat
2016-02-05,Overheat
2016-02-12,Recession
2016-02-19,Recession
2016-02-26,Recession
2016-03-04,Recession
2016-03-11,Recession
2016-03-18,Recession
2016-03-25,Recession
2016-04-01,Recession
2016-04-08,Overheat
2016-04-15,Overheat
2016-04-22,Overheat
2016-04-29,Overheat
2016-05-06,Overheat
2016-05-13,Overheat
2016-05-20,Overheat
2016-05-27,Overheat
2016-06-03,Overheat
2016-06-10,Overheat
2016-06-17,Overheat
2016-06-24,Overheat
2016-07-01,Overheat
2016-07-08,Overheat
2016-07-15,Overheat
2016-07-22,Overheat
2016-07-29,Overheat
2016-08-05,Overheat
2016-08-12,Overheat
2016-08-19,Overheat
2016-08-26,Overheat
2016-09-02,Overheat
2016-09-09,Overheat
2016-09-16,Overheat
2016-09-23,Overheat
2016-09-30,Overheat
2016-10-07,Overheat
2016-10-14,Overheat
2016-10-21,Overheat
2016-10-28,Overheat
2016-11-04,Overheat
2016-11-11,Overheat
2016-11-18,Overheat
2016-11-25,Overheat
2016-12-02,Overheat
2016-12-09,Overheat
2016-12-16,Overheat
2016-12-23,Overheat
2016-12-30,Overheat
2017-01-06,Overheat
2017-01-13,Overheat
2017-01-20,Overheat
2017-01-27,Overheat
2017-02-03,Overheat
2017-02-10,Overheat
2017-02-17,Overheat
2017-02-24,Overheat
2017-03-03,Overheat
2017-03-10,Overheat
2017-03-17,Overheat
2017-03-24,Overheat
2017-03-31,Overheat
2017-04-07,Overheat
2017-04-14,Overheat
2017-04-21,Overheat
2017-04-28,Overheat
2017-05-05,Recession
2017-05-12,Recession
2017-05-19,Recession
2017-05-26,Recession
2017-06-02,Recession
2017-06-09,Recession
2017-06-16,Recession
2017-06-23,Recession
2017-06-30,Recession
2017-07-07,Recession
2017-07-14,Recession
2017-07-21,Recession
2017-07-28,Recession
2017-08-04,Recession
2017-08-11,Recession
2017-08-18,Recession
2017-08-25,Recession
2017-09-01,Recession
2017-09-08,Recession
2017-09-15,Recession
2017-09-22,Recession
2017-09-29,Recession
2017-10-06,Recession
2017-10-13,Overheat
2017-10-20,Overheat
2017-10-27,Overheat
2017-11-03,Overheat
2017-11-10,Overheat
2017-11-17,Overheat
2017-11-24,Overheat
2017-12-01,Overheat
2017-12-08,Overheat
2017-12-15,Overheat
2017-12-22,Overheat
2017-12-29,Overheat
2018-01-05,Overheat
2018-01-12,Overheat
2018-01-19,Overheat
2018-01-26,Overheat
2018-02-02,Overheat
2018-02-09,Overheat
2018-02-16,Overheat
2018-02-23,Overheat
2018-03-02,Overheat
2018-03-09,Overheat
2018-03-16,Overheat
2018-03-23,Overheat
2018-03-30,Overheat
2018-04-06,Overheat
2018-04-13,Overheat
2018-04-20,Overheat
2018-04-27,Overheat
2018-05-04,Recession
2018-05-11,Recession
2018-05-18,Recession
2018-05-25,Recession
2018-06-01,Recession
2018-06-08,Recession
2018-06-15,Recession
2018-06-22,Recession
2018-06-29,Recession
2018-07-06,Overheat
2018-07-13,Overheat
2018-07-20,Recession
2018-07-27,Recession
2018-08-03,Recession
2018-08-10,Recession
2018-08-17,Recession
2018-08-24,Recession
2018-08-31,Recession
2018-09-07,Recession
2018-09-14,Recession
2018-09-21,Recession
2018-09-28,Recession
2018-10-05,Recession
2018-10-12,Recession
2018-10-19,Recession
2018-10-26,Recession
2018-11-02,Recession
2018-11-09,Recession
2018-11-16,Recession
2018-11-23,Recession
2018-11-30,Recession
2018-12-07,Recession
2018-12-14,Recession
2018-12-21,Recession
2018-12-28,Recession
2019-01-04,Recession
2019-01-11,Recession
2019-01-18,Recession
2019-01-25,Recession
2019-02-01,Recession
2019-02-08,Recession
2019-02-15,Recession
2019-02-22,Recession
2019-03-01,Recession
2019-03-08,Recession
2019-03-15,Recession
2019-03-22,Recession
2019-03-29,Recession
2019-04-05,Recession
2019-04-12,Recession
2019-04-19,Recession
2019-04-26,Recession
2019-05-03,Overheat
2019-05-10,Overheat
2019-05-17,Overheat
2019-05-24,Overheat
2019-05-31,Overheat
2019-06-07,Overheat
